chaos_theory_x_network_science_x_free_energy_principle.py (acc=40% tierA=40% tierB=38%): FAIL=[numeric_stated_premise, modus_tollens, subject_object, all_but_n, temporal_ordering, base_rate_neglect, expected_value, affirming_consequent, denying_antecedent, demorgan]
dynamical_systems_x_renormalization_x_epigenetics.py (acc=40% tierA=39% tierB=42%): FAIL=[transitivity, subject_object, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation, demorgan]
fourier_transforms_x_cellular_automata_x_falsificationism.py (acc=40% tierA=42% tierB=31%): FAIL=[numeric_comparison, quantifier_inversion, subject_object, all_but_n, negation_scope, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, affirming_consequent]
fourier_transforms_x_criticality_x_compositionality.py (acc=40% tierA=39% tierB=42%): FAIL=[numeric_stated_premise, modus_tollens, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry, expected_value, affirming_consequent, double_negation]
neural_architecture_search_x_criticality_x_free_energy_principle.py (acc=40% tierA=34% tierB=62%): FAIL=[transitivity, modus_tollens, subject_object, negation_scope, temporal_ordering, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, affirming_consequent, double_negation]
tensor_decomposition_x_holography_principle_x_free_energy_principle.py (acc=40% tierA=33% tierB=65%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy]
thermodynamics_x_kolmogorov_complexity_x_optimal_control.py (acc=40% tierA=32% tierB=69%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, rate_inverse_proportion, conjunction_fallacy, expected_value]
wavelet_transforms_x_mechanism_design_x_free_energy_principle.py (acc=40% tierA=42% tierB=31%): FAIL=[modus_tollens, subject_object, negation_scope, temporal_ordering, rate_inverse_proportion, affirming_consequent, double_negation, vacuous_truth, correlation_not_causation, post_hoc]
wavelet_transforms_x_pragmatics_x_free_energy_principle.py (acc=40% tierA=38% tierB=46%): FAIL=[transitivity, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry, expected_value, affirming_consequent, double_negation]
category_theory_x_renormalization_x_global_workspace_theory.py (acc=40% tierA=38% tierB=50%): FAIL=[numeric_comparison, transitivity, modus_tollens, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, affirming_consequent]
ergodic_theory_x_compressed_sensing_x_sensitivity_analysis.py (acc=40% tierA=39% tierB=46%): FAIL=[temporal_ordering, rate_inverse_proportion, base_rate_neglect, expected_value, affirming_consequent, double_negation, correlation_not_causation, necessary_vs_sufficient, percentage_change_asymmetry, garden_path]
ergodic_theory_x_differentiable_programming_x_immune_systems.py (acc=40% tierA=36% tierB=58%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation, correlation_not_causation]
ergodic_theory_x_hebbian_learning_x_compositionality.py (acc=40% tierA=41% tierB=38%): FAIL=[numeric_stated_premise, modus_tollens, subject_object, negation_scope, temporal_ordering, expected_value, double_negation, demorgan, vacuous_truth, post_hoc]
neural_plasticity_x_abductive_reasoning_x_pragmatics.py (acc=40% tierA=39% tierB=46%): FAIL=[numeric_comparison, numeric_stated_premise, all_but_n, negation_scope, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry, expected_value, affirming_consequent]
phase_transitions_x_genetic_algorithms_x_free_energy_principle.py (acc=40% tierA=39% tierB=46%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, parallel_vs_sequential, conjunction_fallacy, conditional_probability_asymmetry, expected_value, affirming_consequent]
phase_transitions_x_network_science_x_maximum_entropy.py (acc=40% tierA=36% tierB=58%): FAIL=[numeric_comparison, numeric_stated_premise, quantifier_inversion, subject_object, negation_scope, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry, expected_value]
reservoir_computing_x_falsificationism_x_maximum_entropy.py (acc=40% tierA=32% tierB=73%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
reservoir_computing_x_gene_regulatory_networks_x_analogical_reasoning.py (acc=40% tierA=39% tierB=46%): FAIL=[modus_tollens, all_but_n, negation_scope, temporal_ordering, rate_inverse_proportion, conjunction_fallacy, double_negation, demorgan, correlation_not_causation, necessary_vs_sufficient]
sparse_autoencoders_x_falsificationism_x_proof_theory.py (acc=40% tierA=34% tierB=65%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, rate_inverse_proportion, base_rate_neglect]
sparse_autoencoders_x_matched_filtering_x_causal_inference.py (acc=40% tierA=31% tierB=77%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy]
statistical_mechanics_x_ecosystem_dynamics_x_emergence.py (acc=40% tierA=33% tierB=69%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, double_negation]
thermodynamics_x_phase_transitions_x_compressed_sensing.py (acc=40% tierA=35% tierB=62%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, conjunction_fallacy, expected_value, double_negation]
thermodynamics_x_symbiosis_x_type_theory.py (acc=40% tierA=32% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
causal_inference_x_pragmatics_x_free_energy_principle.py (acc=41% tierA=37% tierB=58%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value]
chaos_theory_x_emergence_x_error_correcting_codes.py (acc=41% tierA=33% tierB=73%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
chaos_theory_x_epistemology_x_mechanism_design.py (acc=41% tierA=38% tierB=54%): FAIL=[modus_tollens, subject_object, temporal_ordering, parallel_vs_sequential, conditional_probability_asymmetry, expected_value, affirming_consequent, double_negation, post_hoc, presupposition]
information_theory_x_emergence_x_hebbian_learning.py (acc=41% tierA=32% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy]
measure_theory_x_spectral_analysis_x_nash_equilibrium.py (acc=41% tierA=36% tierB=62%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, rate_inverse_proportion, conjunction_fallacy, double_negation]
neural_architecture_search_x_active_inference_x_compositionality.py (acc=41% tierA=38% tierB=54%): FAIL=[numeric_stated_premise, modus_tollens, subject_object, negation_scope, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, expected_value]
