fractal_geometry_x_differentiable_programming_x_free_energy_principle.py (acc=23% tierA=22% tierB=23%): FAIL=[numeric_comparison, numeric_stated_premise, modus_tollens, quantifier_inversion, subject_object, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy]
mechanism_design_x_nash_equilibrium_x_free_energy_principle.py (acc=26% tierA=32% tierB=4%): FAIL=[numeric_stated_premise, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conditional_probability_asymmetry, expected_value, affirming_consequent, denying_antecedent, double_negation]
renormalization_x_global_workspace_theory_x_criticality.py (acc=26% tierA=29% tierB=15%): FAIL=[numeric_comparison, numeric_stated_premise, modus_tollens, quantifier_inversion, subject_object, negation_scope, rate_inverse_proportion, base_rate_neglect, conditional_probability_asymmetry, affirming_consequent]
attention_mechanisms_x_predictive_coding_x_falsificationism.py (acc=27% tierA=20% tierB=50%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, modus_tollens, quantifier_inversion, subject_object, negation_scope, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion]
tensor_decomposition_x_morphogenesis_x_compositionality.py (acc=28% tierA=28% tierB=31%): FAIL=[numeric_comparison, numeric_stated_premise, modus_tollens, quantifier_inversion, subject_object, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, conditional_probability_asymmetry]
thermodynamics_x_monte_carlo_tree_search_x_free_energy_principle.py (acc=28% tierA=34% tierB=8%): FAIL=[transitivity, all_but_n, negation_scope, temporal_ordering, base_rate_neglect, conditional_probability_asymmetry, expected_value, affirming_consequent, double_negation, demorgan]
ergodic_theory_x_genetic_algorithms_x_analogical_reasoning.py (acc=29% tierA=33% tierB=15%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, subject_object, negation_scope, parallel_vs_sequential, base_rate_neglect, conditional_probability_asymmetry, expected_value, affirming_consequent]
evolution_x_criticality_x_free_energy_principle.py (acc=29% tierA=26% tierB=38%): FAIL=[numeric_comparison, numeric_stated_premise, modus_tollens, quantifier_inversion, subject_object, temporal_ordering, base_rate_neglect, expected_value, double_negation, demorgan]
phase_transitions_x_kolmogorov_complexity_x_nash_equilibrium.py (acc=30% tierA=38% tierB=0%): FAIL=[modus_tollens, subject_object, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conditional_probability_asymmetry, expected_value, double_negation, demorgan]
active_inference_x_mechanism_design_x_type_theory.py (acc=31% tierA=36% tierB=12%): FAIL=[transitivity, subject_object, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conditional_probability_asymmetry, expected_value, affirming_consequent, double_negation]
bayesian_inference_x_constraint_satisfaction_x_free_energy_principle.py (acc=31% tierA=36% tierB=12%): FAIL=[numeric_comparison, numeric_stated_premise, quantifier_inversion, subject_object, negation_scope, parallel_vs_sequential, conditional_probability_asymmetry, expected_value, affirming_consequent, double_negation]
bayesian_inference_x_reservoir_computing_x_sparse_coding.py (acc=31% tierA=31% tierB=31%): FAIL=[numeric_comparison, modus_tollens, quantifier_inversion, subject_object, all_but_n, negation_scope, temporal_ordering, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry]
ergodic_theory_x_maximum_entropy_x_model_checking.py (acc=32% tierA=38% tierB=8%): FAIL=[transitivity, modus_tollens, subject_object, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conditional_probability_asymmetry, expected_value, double_negation]
sparse_autoencoders_x_neural_plasticity_x_abstract_interpretation.py (acc=32% tierA=33% tierB=27%): FAIL=[modus_tollens, subject_object, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conditional_probability_asymmetry, expected_value, affirming_consequent, double_negation, demorgan]
thermodynamics_x_neuromodulation_x_multi-armed_bandits.py (acc=32% tierA=34% tierB=23%): FAIL=[numeric_stated_premise, modus_tollens, subject_object, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, expected_value, affirming_consequent]
