neural_oscillations_x_free_energy_principle_x_type_theory.py (acc=44% tierA=38% tierB=69%): FAIL=[numeric_stated_premise, transitivity, modus_tollens, subject_object, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation, correlation_not_causation]
renormalization_x_differentiable_programming_x_proof_theory.py (acc=44% tierA=35% tierB=81%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value]
bayesian_inference_x_mechanism_design_x_free_energy_principle.py (acc=45% tierA=38% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation]
epigenetics_x_spectral_analysis_x_emergence.py (acc=45% tierA=38% tierB=73%): FAIL=[numeric_comparison, transitivity, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, double_negation]
ergodic_theory_x_adaptive_control_x_compositionality.py (acc=45% tierA=37% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy]
ergodic_theory_x_embodied_cognition_x_causal_inference.py (acc=45% tierA=38% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
falsificationism_x_neural_oscillations_x_neuromodulation.py (acc=45% tierA=42% tierB=58%): FAIL=[numeric_comparison, quantifier_inversion, subject_object, negation_scope, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry, expected_value]
fourier_transforms_x_ergodic_theory_x_predictive_coding.py (acc=45% tierA=41% tierB=62%): FAIL=[numeric_stated_premise, transitivity, modus_tollens, subject_object, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, double_negation]
fractal_geometry_x_cognitive_load_theory_x_mechanism_design.py (acc=45% tierA=38% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, double_negation]
fractal_geometry_x_mechanism_design_x_multi-armed_bandits.py (acc=45% tierA=35% tierB=85%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, subject_object, all_but_n, negation_scope, temporal_ordering, conjunction_fallacy, expected_value]
kalman_filtering_x_falsificationism_x_nash_equilibrium.py (acc=45% tierA=40% tierB=65%): FAIL=[numeric_comparison, transitivity, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, affirming_consequent, double_negation]
measure_theory_x_phase_transitions_x_phenomenology.py (acc=45% tierA=38% tierB=73%): FAIL=[numeric_comparison, transitivity, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, double_negation]
multi-armed_bandits_x_free_energy_principle_x_type_theory.py (acc=45% tierA=40% tierB=65%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
neuromodulation_x_mechanism_design_x_maximum_entropy.py (acc=45% tierA=37% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, base_rate_neglect, conjunction_fallacy, double_negation, correlation_not_causation]
phenomenology_x_kolmogorov_complexity_x_compositionality.py (acc=45% tierA=38% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation]
renormalization_x_criticality_x_model_checking.py (acc=45% tierA=37% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy]
reservoir_computing_x_evolution_x_phenomenology.py (acc=45% tierA=42% tierB=58%): FAIL=[numeric_comparison, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, rate_inverse_proportion, conjunction_fallacy, conditional_probability_asymmetry, expected_value, double_negation]
statistical_mechanics_x_evolution_x_free_energy_principle.py (acc=45% tierA=37% tierB=77%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, base_rate_neglect, conjunction_fallacy, double_negation]
thermodynamics_x_epistemology_x_free_energy_principle.py (acc=45% tierA=37% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, double_negation]
thermodynamics_x_sparse_autoencoders_x_compositionality.py (acc=45% tierA=37% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, subject_object, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect]
wavelet_transforms_x_network_science_x_compositionality.py (acc=45% tierA=38% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
bayesian_inference_x_neural_oscillations_x_free_energy_principle.py (acc=46% tierA=39% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value]
compressed_sensing_x_differentiable_programming_x_falsificationism.py (acc=46% tierA=39% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value]
criticality_x_multi-armed_bandits_x_metamorphic_testing.py (acc=46% tierA=38% tierB=77%): FAIL=[numeric_stated_premise, transitivity, modus_tollens, negation_scope, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, expected_value]
embodied_cognition_x_autopoiesis_x_causal_inference.py (acc=46% tierA=38% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value]
fractal_geometry_x_phase_transitions_x_compressed_sensing.py (acc=46% tierA=38% tierB=77%): FAIL=[numeric_comparison, transitivity, quantifier_inversion, negation_scope, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, expected_value, double_negation]
monte_carlo_tree_search_x_immune_systems_x_sparse_coding.py (acc=46% tierA=38% tierB=77%): FAIL=[numeric_comparison, transitivity, quantifier_inversion, all_but_n, negation_scope, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation, correlation_not_causation]
pragmatism_x_neuromodulation_x_mechanism_design.py (acc=46% tierA=38% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, rate_inverse_proportion, conjunction_fallacy, double_negation]
reinforcement_learning_x_spectral_analysis_x_mechanism_design.py (acc=46% tierA=39% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, double_negation]
tensor_decomposition_x_falsificationism_x_free_energy_principle.py (acc=46% tierA=44% tierB=54%): FAIL=[numeric_comparison, transitivity, quantifier_inversion, all_but_n, conjunction_fallacy, conditional_probability_asymmetry, expected_value, denying_antecedent, double_negation, vacuous_truth]
thermodynamics_x_active_inference_x_wavelet_transforms.py (acc=46% tierA=43% tierB=58%): FAIL=[transitivity, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, double_negation, vacuous_truth, correlation_not_causation, scope_ambiguity, pronoun_ambiguity]
attention_mechanisms_x_neural_plasticity_x_feedback_control.py (acc=47% tierA=42% tierB=65%): FAIL=[numeric_comparison, modus_tollens, quantifier_inversion, negation_scope, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, double_negation, demorgan]
differentiable_programming_x_nash_equilibrium_x_metamorphic_testing.py (acc=47% tierA=40% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
epistemology_x_criticality_x_nash_equilibrium.py (acc=47% tierA=42% tierB=65%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation]
fractal_geometry_x_statistical_mechanics_x_free_energy_principle.py (acc=47% tierA=42% tierB=65%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy]
quantum_mechanics_x_theory_of_mind_x_dialectics.py (acc=47% tierA=40% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation]
renormalization_x_reinforcement_learning_x_network_science.py (acc=47% tierA=38% tierB=81%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, modus_tollens, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
thermodynamics_x_embodied_cognition_x_network_science.py (acc=47% tierA=37% tierB=85%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, rate_inverse_proportion, conjunction_fallacy, expected_value]
thermodynamics_x_gauge_theory_x_kolmogorov_complexity.py (acc=47% tierA=40% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, affirming_consequent]
wavelet_transforms_x_abductive_reasoning_x_mechanism_design.py (acc=47% tierA=38% tierB=81%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy]
active_inference_x_pragmatics_x_property-based_testing.py (acc=48% tierA=40% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation]
category_theory_x_renormalization_x_constraint_satisfaction.py (acc=48% tierA=41% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation]
graph_theory_x_kalman_filtering_x_mechanism_design.py (acc=48% tierA=41% tierB=73%): FAIL=[transitivity, modus_tollens, negation_scope, temporal_ordering, rate_inverse_proportion, conjunction_fallacy, double_negation, correlation_not_causation, post_hoc, argument_strength]
hebbian_learning_x_mechanism_design_x_free_energy_principle.py (acc=48% tierA=40% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
pragmatics_x_hoare_logic_x_satisfiability.py (acc=48% tierA=39% tierB=81%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy]
predictive_coding_x_falsificationism_x_free_energy_principle.py (acc=48% tierA=38% tierB=85%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value]
prime_number_theory_x_criticality_x_model_checking.py (acc=48% tierA=40% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation]
bayesian_inference_x_evolution_x_criticality.py (acc=48% tierA=48% tierB=50%): FAIL=[numeric_comparison, quantifier_inversion, subject_object, all_but_n, negation_scope, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry, expected_value, double_negation]
category_theory_x_causal_inference_x_mechanism_design.py (acc=48% tierA=40% tierB=81%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, conjunction_fallacy, expected_value]
chaos_theory_x_type_theory_x_model_checking.py (acc=48% tierA=41% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, double_negation]
phase_transitions_x_nash_equilibrium_x_model_checking.py (acc=48% tierA=42% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation]
phenomenology_x_emergence_x_criticality.py (acc=48% tierA=44% tierB=65%): FAIL=[transitivity, all_but_n, negation_scope, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, affirming_consequent, double_negation, correlation_not_causation]
prime_number_theory_x_free_energy_principle_x_maximum_entropy.py (acc=48% tierA=41% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, double_negation]
reservoir_computing_x_active_inference_x_abductive_reasoning.py (acc=48% tierA=42% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation]
spectral_analysis_x_pragmatics_x_type_theory.py (acc=48% tierA=41% tierB=77%): FAIL=[numeric_comparison, transitivity, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, conditional_probability_asymmetry, expected_value]
thermodynamics_x_free_energy_principle_x_maximum_entropy.py (acc=48% tierA=42% tierB=73%): FAIL=[numeric_comparison, transitivity, modus_tollens, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, affirming_consequent, double_negation]
active_inference_x_kolmogorov_complexity_x_free_energy_principle.py (acc=49% tierA=41% tierB=81%): FAIL=[numeric_comparison, transitivity, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, expected_value]
attention_mechanisms_x_criticality_x_optimal_control.py (acc=49% tierA=42% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation]
execution_evaluator.py (acc=49% tierA=41% tierB=81%): FAIL=[numeric_stated_premise, transitivity, modus_tollens, quantifier_inversion, negation_scope, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value]
fractal_geometry_x_cellular_automata_x_free_energy_principle.py (acc=49% tierA=42% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, conjunction_fallacy, expected_value, double_negation, correlation_not_causation]
ncd_baseline.py (acc=49% tierA=40% tierB=85%): FAIL=[numeric_comparison, numeric_stated_premise, transitivity, modus_tollens, quantifier_inversion, temporal_ordering, rate_inverse_proportion, base_rate_neglect, conjunction_fallacy, double_negation]
neuromodulation_x_nash_equilibrium_x_maximum_entropy.py (acc=49% tierA=42% tierB=77%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, all_but_n, temporal_ordering, parallel_vs_sequential, conjunction_fallacy, expected_value, double_negation]
reinforcement_learning_x_emergence_x_model_checking.py (acc=49% tierA=40% tierB=85%): FAIL=[numeric_comparison, transitivity, modus_tollens, quantifier_inversion, temporal_ordering, parallel_vs_sequential, base_rate_neglect, conjunction_fallacy, expected_value, double_negation]
